step,episode_discounted_reward,episode_reward,episode_time,init_q,running_discounted_reward,running_reward,running_time
19600,28.703306198120117,37.122806549072266,76.0,453.7489318847656,-58.40513610839844,-68.40779876708984,263.9288330078125
19700,65.82272338867188,72.22447967529297,77.0,453.7489318847656,-66.59527587890625,-78.2181167602539,262.1510009765625
19800,-151.49623107910156,-178.54586791992188,204.0,460.8394775390625,-65.73412322998047,-77.13329315185547,250.92376708984375
19900,40.68540573120117,44.21755599975586,89.0,463.63653564453125,-39.75656509399414,-45.53170394897461,240.74464416503906
20000,-202.72335815429688,-234.3971405029297,252.0,464.7477722167969,-26.812015533447266,-31.42275619506836,228.22817993164062
20100,23.80925178527832,77.70062255859375,293.0,465.1921081542969,-24.28095245361328,-25.96658706665039,231.46678161621094
20200,23.574981689453125,31.189626693725586,90.0,465.37005615234375,-33.50104522705078,-35.451263427734375,237.0062713623047
20300,145.20184326171875,203.5657501220703,223.0,473.3467102050781,-26.570354461669922,-28.953895568847656,242.19564819335938
20400,-26.872745513916016,-18.80632209777832,108.0,473.3467102050781,-26.585474014282227,-28.446516036987305,235.48587036132812
20500,26.51041603088379,33.28236770629883,100.0,473.3467102050781,-32.26049041748047,-33.085391998291016,236.62100219726562
20600,56.076473236083984,65.2135009765625,76.0,473.3467102050781,-30.194429397583008,-32.02738571166992,229.24729919433594
20700,1.2199432849884033,9.189659118652344,96.0,474.86822509765625,-11.921331405639648,-11.3319091796875,217.68069458007812
20800,-289.6185607910156,-344.3562927246094,282.0,474.86822509765625,-49.92212677001953,-60.53847885131836,234.44932556152344
20900,307.7463073730469,348.2166442871094,126.0,474.86822509765625,-42.62312316894531,-52.44306182861328,230.905517578125
21000,-268.06573486328125,-282.7994689941406,494.0,474.86822509765625,-53.89525604248047,-63.96088409423828,244.06024169921875
21100,-234.33465576171875,-254.32838439941406,264.0,475.48321533203125,-56.25125503540039,-66.06556701660156,236.17185974121094
21200,113.59185028076172,117.09378814697266,44.0,478.1392517089844,-36.983642578125,-42.137577056884766,215.73492431640625
21300,256.1246032714844,303.50189208984375,179.0,479.23114013671875,-22.328229904174805,-24.85560417175293,213.89817810058594
21400,-160.70635986328125,-132.9043426513672,416.0,481.87646484375,-35.858055114746094,-39.38996505737305,234.17311096191406
21500,-191.24099731445312,-221.01986694335938,432.0,482.34136962890625,-43.627201080322266,-48.471458435058594,244.064453125
21600,203.30906677246094,250.44215393066406,188.0,482.5347900390625,-30.770936965942383,-32.29834747314453,236.128173828125
21700,220.56163024902344,239.48899841308594,198.0,483.2281799316406,-24.51365852355957,-24.777130126953125,242.33816528320312
21800,-57.233978271484375,-65.6766357421875,143.0,483.5546569824219,-33.7904052734375,-34.74400329589844,235.5977020263672
21900,-227.91973876953125,-234.97000122070312,446.0,483.5546569824219,-43.49687194824219,-44.75530242919922,246.11781311035156
22000,235.52957153320312,267.33331298828125,163.0,483.6916198730469,-29.545551300048828,-29.1508731842041,241.96192932128906
22100,30.137319564819336,40.2464599609375,93.0,483.77362060546875,-30.76658821105957,-33.65730285644531,242.400634765625
22200,24.287017822265625,32.1706657409668,85.0,483.78387451171875,-48.25553512573242,-55.88701629638672,237.7258758544922
22300,-328.76727294921875,-366.37921142578125,288.0,483.7882080078125,-47.33281326293945,-53.967899322509766,236.69009399414062
22400,132.94985961914062,119.43721771240234,235.0,483.7882080078125,-38.31867980957031,-45.29764175415039,236.6055908203125
22500,-197.62069702148438,-217.00794982910156,428.0,483.7882080078125,-46.28377914428711,-53.88315963745117,246.17530822753906
22600,65.82218170166016,49.72757339477539,297.0,483.7882080078125,-40.67848205566406,-48.70262145996094,248.716552734375
22700,100.02761840820312,152.67446899414062,250.0,483.7900390625,-38.562095642089844,-47.053733825683594,257.72418212890625
22800,-69.4928970336914,-61.682621002197266,143.0,483.7900390625,-45.86043167114258,-52.20130920410156,259.2685852050781
22900,-199.64651489257812,-207.03004455566406,418.0,483.7900390625,-53.54973602294922,-59.942745208740234,267.20513916015625
23000,168.8076629638672,189.44520568847656,216.0,483.79083251953125,-38.848899841308594,-41.646419525146484,266.20263671875
23100,-15.664258003234863,-5.722541332244873,115.0,483.7911682128906,-20.799745559692383,-20.82865333557129,245.8248748779297
